trans_id;account_id;date;type;operation;amount;balance;k_symbol;bank;account
695247;2378;930101;PRIJEM;VKLAD;700.0;700.0;;;
171812;576;930101;PRIJEM;VKLAD;900.0;900.0;;;
207264;704;930101;PRIJEM;VKLAD;1000.0;1000.0;;;
1117247;3818;930101;PRIJEM;VKLAD;600.0;600.0;;;
579373;1972;930102;PRIJEM;VKLAD;400.0;400.0;;;
771035;2632;930102;PRIJEM;VKLAD;1100.0;1100.0;;;
452728;1539;930103;PRIJEM;VKLAD;600.0;600.0;;;
725751;2484;930103;PRIJEM;VKLAD;1100.0;1100.0;;;
497211;1695;930103;PRIJEM;VKLAD;200.0;200.0;;;
232960;793;930103;PRIJEM;VKLAD;800.0;800.0;;;
505240;1726;930103;PRIJEM;VKLAD;1000.0;1000.0;;;
144541;485;930104;PRIJEM;VKLAD;300.0;300.0;;;
637741;2177;930104;PRIJEM;VKLAD;800.0;800.0;;;
689827;2357;930104;PRIJEM;VKLAD;800.0;800.0;;;
846006;2881;930104;PRIJEM;VKLAD;700.0;700.0;;;
637742;2177;930105;PRIJEM;PREVOD Z UCTU;5123.0;5923.0;DUCHOD;YZ;62457513.0
2908688;9635;930105;PRIJEM;VKLAD;400.0;400.0;;;
232961;793;930105;PRIJEM;PREVOD Z UCTU;3401.0;4201.0;;IJ;6149286.0
192096;652;930105;PRIJEM;VKLAD;700.0;700.0;;;
542215;1844;930106;PRIJEM;VKLAD;500.0;500.0;;;
565654;1926;930106;PRIJEM;VKLAD;700.0;700.0;;;
542216;1844;930107;PRIJEM;PREVOD Z UCTU;3242.0;3742.0;;ST;42988401.0
1027725;3510;930107;PRIJEM;VKLAD;500.0;500.0;;;
374589;1276;930107;PRIJEM;VKLAD;400.0;400.0;;;
579374;1972;930107;PRIJEM;PREVOD Z UCTU;5298.0;5698.0;DUCHOD;UV;14132887.0
699220;2393;930107;PRIJEM;VKLAD;900.0;900.0;;;
129502;435;930108;PRIJEM;VKLAD;400.0;400.0;;;
374590;1276;930108;PRIJEM;VKLAD;6774.0;7174.0;;;
57433;192;930108;PRIJEM;VKLAD;300.0;300.0;;;
497212;1695;930108;PRIJEM;VKLAD;11832.0;12032.0;;;
621760;2122;930108;PRIJEM;VKLAD;300.0;300.0;;;
480214;1637;930108;PRIJEM;VKLAD;500.0;500.0;;;
612392;2087;930108;PRIJEM;VKLAD;600.0;600.0;;;
224342;764;930108;PRIJEM;VKLAD;1100.0;1100.0;;;
1049881;3592;930108;PRIJEM;VKLAD;600.0;600.0;;;
1132662;3871;930108;PRIJEM;VKLAD;300.0;300.0;;;
1021120;3487;930108;PRIJEM;VKLAD;800.0;800.0;;;
439035;1493;930109;PRIJEM;VKLAD;200.0;200.0;;;
110534;374;930109;PRIJEM;VKLAD;400.0;400.0;;;
771036;2632;930109;PRIJEM;VKLAD;14264.0;15364.0;;;
506450;1730;930109;PRIJEM;VKLAD;900.0;900.0;;;
192097;652;930109;PRIJEM;VKLAD;13851.0;14551.0;;;
1117248;3818;930109;PRIJEM;VKLAD;17366.0;17966.0;;;
695720;2379;930110;PRIJEM;VKLAD;800.0;800.0;;;
857973;2925;930110;PRIJEM;VKLAD;1000.0;1000.0;;;
477638;1628;930110;PRIJEM;VKLAD;700.0;700.0;;;
1049882;3592;930110;PRIJEM;PREVOD Z UCTU;6007.0;6607.0;DUCHOD;MN;73166322.0
252644;866;930110;PRIJEM;VKLAD;500.0;500.0;;;
393505;1338;930111;PRIJEM;VKLAD;400.0;400.0;;;
171813;576;930111;PRIJEM;PREVOD Z UCTU;6207.0;7107.0;DUCHOD;YZ;30300313.0
581699;1979;930111;PRIJEM;VKLAD;900.0;900.0;;;
252645;866;930111;PRIJEM;VKLAD;12644.0;13144.0;;;
101386;346;930111;PRIJEM;VKLAD;800.0;800.0;;;
689828;2357;930112;PRIJEM;PREVOD Z UCTU;6434.0;7234.0;DUCHOD;OP;34144538.0
725752;2484;930112;PRIJEM;VKLAD;14779.0;15879.0;;;
565655;1926;930112;PRIJEM;VKLAD;4507.0;5207.0;;;
857974;2925;930112;PRIJEM;VKLAD;6446.0;7446.0;;;
560898;1909;930112;PRIJEM;VKLAD;800.0;800.0;;;
207265;704;930112;PRIJEM;VKLAD;17477.0;18477.0;;;
477639;1628;930112;PRIJEM;PREVOD Z UCTU;4276.0;4976.0;DUCHOD;UV;15916598.0
615542;2099;930112;PRIJEM;VKLAD;1100.0;1100.0;;;
439036;1493;930113;PRIJEM;PREVOD Z UCTU;5009.0;5209.0;DUCHOD;AB;54522466.0
1100759;3760;930113;PRIJEM;VKLAD;1000.0;1000.0;;;
480215;1637;930113;PRIJEM;PREVOD Z UCTU;5718.0;6218.0;DUCHOD;UV;45134812.0
1548749;5270;930113;PRIJEM;VKLAD;800.0;800.0;;;
505241;1726;930113;PRIJEM;VKLAD;13967.0;14967.0;;;
846007;2881;930113;PRIJEM;VKLAD;6959.0;7659.0;;;
1021121;3487;930113;PRIJEM;VKLAD;15914.0;16714.0;;;
2908689;9635;930114;PRIJEM;PREVOD Z UCTU;4470.0;4870.0;DUCHOD;CD;37906074.0
858384;2926;930114;PRIJEM;VKLAD;600.0;600.0;;;
498389;1699;930114;PRIJEM;VKLAD;800.0;800.0;;;
699221;2393;930114;PRIJEM;VKLAD;10737.0;11637.0;;;
1142758;3909;930114;PRIJEM;VKLAD;700.0;700.0;;;
